class_id,epoch_id,topic_id,topic_uid,topic_number,display_title,quiz_link,notebook_link,doc_link,doc_links,sort_order,status
12,moderna,moderna-6,12-moderna-6,6,Franța de la monarhie absolută la republică,,https://notebooklm.google.com/notebook/e2977e7d-a6c1-4578-969b-791f78440bb0,,[],35,ready
12,moderna,moderna-7,12-moderna-7,7,Epoca napoleoniană și impactul ei asupra societății Europene,,https://notebooklm.google.com/notebook/3ce63226-50c8-4dc4-a53b-7a0e29011f99,,[],36,ready
12,moderna,moderna-8,12-moderna-8,8,Țările Române sub regim fanariot,,,,[],37,links_pending
12,moderna,moderna-9,12-moderna-9,9,Revoluția sub conducerea lui Tudor Vladimirescu din 1821,,,,[],38,links_pending
12,moderna,moderna-10,12-moderna-10,10,"Drepturile naturale ale omului în actele revoluțiilor moderne. Primele acte constituționale referitoare la drepturile și libertățile omului din Anglia, SUA și Franța",,,,[],39,links_pending
12,moderna,moderna-11,12-moderna-11,11,Relațiile internaționale de la Pacea de la Westfalia la Congresul de la Viena,https://forms.gle/z98eZbJKsCYWsbW39,https://notebooklm.google.com/notebook/57a81c27-7170-4c64-954f-d558535378d5,https://docs.google.com/document/d/17A1LpmCC_fSD8Gqv1vW1X40cGMAC3GqqwANCgsMgENc/edit?usp=sharing,['https://docs.google.com/document/d/17A1LpmCC_fSD8Gqv1vW1X40cGMAC3GqqwANCgsMgENc/edit?usp=sharing'],40,ready
12,moderna,moderna-12,12-moderna-12,12,Principatele Române în contextul „Problemei orientale”,https://forms.gle/A23kQWYybzgEqqCy9,https://notebooklm.google.com/notebook/4454df5f-7b4e-4eb0-a4c9-be2967c219eb,https://docs.google.com/document/d/1oVhENSAgUWPSu_ra5yyvozPKTFJIsy6nZSAqsTiIdt0/edit?usp=sharing,['https://docs.google.com/document/d/1oVhENSAgUWPSu_ra5yyvozPKTFJIsy6nZSAqsTiIdt0/edit?usp=sharing'],41,ready
12,moderna,moderna-13,12-moderna-13,13,Anul 1812 în istoria românilor,https://forms.gle/qFBEXRcHsaaD1UGA6,https://notebooklm.google.com/notebook/eca2371e-0e34-4f7d-a39d-914125732aa1,https://docs.google.com/document/d/1wW-JUdSXR4aVhqY30s1DQ39TehZdVv3MuGCgIVoR8ac/edit?usp=sharing,['https://docs.google.com/document/d/1wW-JUdSXR4aVhqY30s1DQ39TehZdVv3MuGCgIVoR8ac/edit?usp=sharing'],42,ready
12,moderna,moderna-14,12-moderna-14,14,"Lichidarea autonomiei Basarabiei: etape, evenimente, consecințe",https://forms.gle/tdSWqxwLApqkrLtB6,https://notebooklm.google.com/notebook/bee2df75-1a0c-4ead-a175-683567259cae,https://docs.google.com/document/d/1LYHzMXur0QdwIUx0AG8dvbRHscFWNgg-1MEBrgGVYYs/edit?usp=sharing,['https://docs.google.com/document/d/1LYHzMXur0QdwIUx0AG8dvbRHscFWNgg-1MEBrgGVYYs/edit?usp=sharing'],43,ready
12,moderna,moderna-15,12-moderna-15,15,Economia Basarabiei în componența Imperiului Rus,https://forms.gle/bTdCwf4TaBcQy79F7,https://notebooklm.google.com/notebook/15b92295-eee6-4cda-b480-c992cb75717b,https://docs.google.com/document/d/1UITOB94G8RrDiNfXNJ-ZctLmiKjB_fQKz21vSPjEc2w/edit?usp=sharing,['https://docs.google.com/document/d/1UITOB94G8RrDiNfXNJ-ZctLmiKjB_fQKz21vSPjEc2w/edit?usp=sharing'],44,ready
12,moderna,moderna-16,12-moderna-16,16,Politici sociale ale țarismului și colonizarea Basarabiei,https://forms.gle/gKeGn1tKgxbKhFbf9,https://notebooklm.google.com/notebook/9927d22d-565d-42a6-bfef-1655259add7d,https://docs.google.com/document/d/1d8sloAnODgCTnmm-S7lsXA4o0my3kTtqYszzNs0bgk4/edit?usp=sharing,['https://docs.google.com/document/d/1d8sloAnODgCTnmm-S7lsXA4o0my3kTtqYszzNs0bgk4/edit?usp=sharing'],45,ready
12,moderna,moderna-17,12-moderna-17,17,Reformele țariste în Basarabia și consecințele lor,https://forms.gle/aRk9dfeMxtXUjb1M9,https://notebooklm.google.com/notebook/61b3f995-a8c0-4311-9484-e6c99fc729b4,https://docs.google.com/document/d/1bKL23POIEEsMwUQcHKkjRwywRfYTz6uIpr0Q72CI6RM/edit?usp=sharing,['https://docs.google.com/document/d/1bKL23POIEEsMwUQcHKkjRwywRfYTz6uIpr0Q72CI6RM/edit?usp=sharing'],46,ready
12,moderna,moderna-18,12-moderna-18,18,Doctrinele social-politice în epoca modernă,https://forms.gle/c6S2Fr4JfWi1vjPr7,https://notebooklm.google.com/notebook/e075ac18-28c0-4b08-9126-b3e5d791595e,https://docs.google.com/document/d/1Eo66Suh-Bp0K_5Bya-mH3rDxkIhjAlXUn0EUpH4qi88/edit?usp=sharing,['https://docs.google.com/document/d/1Eo66Suh-Bp0K_5Bya-mH3rDxkIhjAlXUn0EUpH4qi88/edit?usp=sharing'],47,ready
12,moderna,moderna-19,12-moderna-19,19,Unirea Principatelor Române,https://forms.gle/RQXgb7xE3QkafmpJA,https://notebooklm.google.com/notebook/a08524fa-0ab7-4747-a930-7cd7b7145609,https://docs.google.com/document/d/1a9PVoMNdK9yyckDP5B5gPC6y_ObD9gVQF61WLwlFDC0/edit?usp=sharing,['https://docs.google.com/document/d/1a9PVoMNdK9yyckDP5B5gPC6y_ObD9gVQF61WLwlFDC0/edit?usp=sharing'],48,ready
12,moderna,moderna-20,12-moderna-20,20,Reformele lui A.I. Cuza și modernizarea societății românești,https://forms.gle/huStjachz77fSq7L6,https://notebooklm.google.com/notebook/ad840bd0-395b-4467-889f-0a916e2ab47d,https://docs.google.com/document/d/1cpFnCe_8ZjB6roNpL749zM8J3zpAzKjpJvVQ2U8A8Sk/edit?usp=sharing,['https://docs.google.com/document/d/1cpFnCe_8ZjB6roNpL749zM8J3zpAzKjpJvVQ2U8A8Sk/edit?usp=sharing'],49,ready
12,moderna,moderna-21,12-moderna-21,21,Instituirea monarhiei constituționale. Constituția din 1866,https://forms.gle/N4fK94LmBSqaHLMX9,https://notebooklm.google.com/notebook/95f7d5e0-cc46-4185-9737-9e205ea85e6a,https://docs.google.com/document/d/1GWdHMAhrTdwWcb8r_AiEhhBtSZrUQsgCk3wVJLacbR0/edit?usp=sharing,['https://docs.google.com/document/d/1GWdHMAhrTdwWcb8r_AiEhhBtSZrUQsgCk3wVJLacbR0/edit?usp=sharing'],50,ready
